comment,id,toxic,severe_toxic,threat,insult,identity_hate,gaslight,manipulation
One day youll regret crossing me,gen_8881,0,1,1,0,0,0,0
They only like you because I told them to,gen_8882,0,0,0,0,0,0,1
Keep talking and youll see what happens,gen_8883,0,0,1,0,0,0,0
Youre overreacting like always,gen_8884,0,0,0,0,0,1,0
Your time is running out,gen_8885,0,0,1,0,0,0,0
Ive hurt worse people than you,gen_8886,0,0,1,0,0,0,0
You should be deported,gen_8887,0,1,0,0,1,0,0
Youre going to ruin everything if you speak up,gen_8888,0,0,0,0,0,0,1
Better sleep with one eye open,gen_8889,0,1,1,0,0,0,0
Even trash has more value than you,gen_8890,0,0,0,1,0,0,0
People laugh at you not with you,gen_8891,0,0,0,1,0,0,0
Youre so fake its embarrassing,gen_8892,0,1,1,1,0,0,0
Youre so fake its embarrassing,gen_8893,0,0,0,1,0,0,0
Your time is running out,gen_8894,0,0,1,0,0,0,0
Youre so fake its embarrassing,gen_8895,0,1,0,1,1,0,0
Youre just being paranoid again,gen_8896,0,0,0,0,0,1,0
I cant believe anyone tolerates you,gen_8897,1,1,1,0,0,0,0
I hope you get what you deservepain,gen_8898,0,1,0,0,0,1,0
You made me act this way,gen_8899,0,0,0,1,0,0,1
No one takes you seriously for a reason,gen_8900,0,0,0,1,0,0,0
Youre so fake its embarrassing,gen_8901,0,0,0,1,0,0,0
Youre not making any sense,gen_8902,0,0,0,0,0,1,0
Everyone thinks youre the problem not me,gen_8903,0,0,0,0,0,0,1
They only like you because I told them to,gen_8904,0,1,0,1,0,0,1
Everyone would be better off without you,gen_8905,0,1,1,0,0,0,0
Why do you always play the victim reach,gen_8906,0,0,1,0,0,1,0
Youre the definition of pathetic,gen_8907,1,1,0,0,0,0,0
People laugh at you not with you,gen_8908,0,0,0,1,0,0,0
Youre irrelevant and annoying,gen_8909,0,0,1,1,0,0,1
Youre pure trash and should be treated as such,gen_8910,0,1,0,1,0,0,0
Youre too emotional calm down,gen_8911,0,0,0,0,0,1,0
Youre remembering it wrong I was right,gen_8912,0,0,0,0,0,1,0
Im doing this for your own good,gen_8913,0,1,1,0,0,0,1
Everyone would be better off without you,gen_8914,0,1,1,0,0,0,0
Youre going to ruin everything if you speak up,gen_8915,0,0,0,0,0,0,1
Dont forget I know where you live,gen_8916,0,1,1,0,0,1,0
We dont need your kind here,gen_8917,1,1,0,0,1,0,0
Youre pure trash and should be treated as such,gen_8918,0,1,0,0,0,0,0
Everyone would be better off without you,gen_8919,0,1,0,1,0,0,1
I will break everything you love,gen_8920,0,0,1,0,0,0,0
Better sleep with one eye open,gen_8921,0,0,1,0,0,0,0
You all are just criminals in disguise,gen_8922,0,1,0,0,1,0,0
Youre a walking joke,gen_8923,0,0,0,1,0,0,0
Youre pure trash and should be treated as such,gen_8924,0,1,0,0,0,0,0
Youre pure trash and should be treated as such,gen_8925,0,1,0,0,0,0,0
People like you dont belong here,gen_8926,0,1,0,0,1,0,1
Better sleep with one eye open,gen_8927,0,0,1,0,0,0,0
Even trash has more value than you,gen_8928,0,0,0,1,0,0,0
You look like a mistake,gen_8929,0,0,0,1,0,1,1
Youre a walking joke,gen_8930,0,0,0,1,0,0,0
They only like you because I told them to,gen_8931,0,0,1,0,0,1,1
Youre dead if I ever see you,gen_8932,0,0,1,0,0,0,0
Youre so fake its embarrassing,gen_8933,0,0,0,1,0,0,0
I hope you get what you deservepain,gen_8934,0,1,0,0,0,0,0
Youre polluting our culture,gen_8935,0,0,0,0,1,0,0
Youre overreacting like always,gen_8936,0,0,0,0,0,1,0
You wont survive whats coming next,gen_8937,0,0,1,0,0,1,0
No one wants you around just leave,gen_8938,1,1,1,0,0,0,0
Youre so fake its embarrassing,gen_8939,0,1,0,1,0,0,0
Im doing this for your own good,gen_8940,0,0,0,0,0,0,1
Youre too emotional calm down,gen_8941,1,0,0,1,0,1,0
Youre overreacting like always,gen_8942,0,1,1,0,0,1,0
Youre disgusting inside and out,gen_8943,1,1,0,1,0,0,0
Youre disgusting inside and out,gen_8944,1,0,0,0,0,0,0
Youre going to ruin everything if you speak up,gen_8945,0,0,0,0,0,0,1
You made me act this way,gen_8946,0,0,0,0,1,1,1
You shouldve never been born,gen_8947,0,1,0,0,0,0,0
Youre pure trash and should be treated as such,gen_8948,0,1,0,0,0,0,0
Youre a disgrace to your religion,gen_8949,0,0,0,1,1,0,1
I hope you get what you deservepain,gen_8950,0,1,0,0,0,0,0
We dont need your kind here,gen_8951,0,0,0,0,1,0,0
Everyone thinks youre the problem not me,gen_8952,0,0,0,0,0,0,1
Youre not making any sense,gen_8953,1,0,0,0,0,1,0
Youre polluting our culture,gen_8954,0,0,0,1,1,0,0
Youre the reason everyone is miserable,gen_8955,1,0,0,0,0,0,0
Youre disgusting inside and out,gen_8956,1,0,1,0,0,0,0
People laugh at you not with you,gen_8957,0,0,0,1,0,0,0
Your existence is offensive,gen_8958,0,0,0,0,1,0,0
You should be deported,gen_8959,0,0,0,0,1,0,0
People talk behind your back for a reason,gen_8960,1,0,0,0,0,0,0
You deserve everything bad coming your way,gen_8961,0,1,1,0,0,0,0
Youre lucky I even talk to you,gen_8962,0,0,0,0,0,0,1
We dont need your kind here,gen_8963,1,1,0,0,1,0,0
I never said thatyoure confused again,gen_8964,0,0,0,1,0,0,1
Youre going to ruin everything if you speak up,gen_8965,0,0,0,0,0,0,1
I hope you get what you deservepain,gen_8966,0,1,0,0,0,0,0
Youre too emotional calm down,gen_8967,0,0,0,0,0,1,0
If you really loved me youd prove it,gen_8968,0,0,0,0,0,0,1
Youre overreacting like always,gen_8969,0,0,0,0,0,1,0
You make me sick to my stomach,gen_8970,0,1,0,0,0,0,0
Your existence is offensive,gen_8971,0,0,1,0,1,0,0
Youre nothing but a failure,gen_8972,1,0,0,0,0,1,1
Youre so dumb its painful to watch,gen_8973,1,0,0,1,0,0,0
Hope your life stays miserable forever,gen_8974,0,1,0,0,0,0,0
Your existence is a burden to others,gen_8975,1,0,0,0,0,0,0
Keep talking and youll see what happens,gen_8976,0,0,1,0,0,1,0
Why do you always play the victim suffer,gen_8977,1,0,1,0,0,1,0
Its not abuse youre just sensitive,gen_8978,0,0,1,0,1,1,0
No one takes you seriously for a reason,gen_8979,0,0,0,1,0,0,0
Youre the definition of pathetic,gen_8980,1,0,0,0,0,0,0
You made me act this way,gen_8981,0,0,0,0,0,0,1
Youre overreacting like always,gen_8982,1,0,0,0,0,1,0
Youre the reason everyone is miserable,gen_8983,1,0,0,1,1,0,0
You should be deported,gen_8984,0,0,0,0,1,0,0
You made me act this way,gen_8985,0,0,1,0,1,0,1
Youre overreacting like always,gen_8986,0,0,0,0,0,1,0
Youre too dumb to realize how dumb you are,gen_8987,0,0,0,1,0,0,0
Hope your life stays miserable forever,gen_8988,0,1,0,0,0,0,0
Your race is the problem with this country,gen_8989,0,0,0,0,1,0,0
Even trash has more value than you,gen_8990,0,0,0,1,0,0,0
Ill ruin you if you speak again,gen_8991,0,0,1,0,0,0,0
Youre what happens when failure has a face,gen_8992,0,0,0,1,0,0,0
Your time is running out,gen_8993,0,1,1,0,0,0,0
One day youll regret crossing me,gen_8994,0,0,1,0,0,0,0
Ill ruin you if you speak again,gen_8995,0,0,1,0,0,0,0
Go die in a ditch nobody cares about you,gen_8996,0,1,1,0,0,0,0
Youre disgusting inside and out,gen_8997,1,0,1,0,0,0,0
No one wants you around just leave,gen_8998,1,0,0,0,0,0,0
Youre too dumb to realize how dumb you are,gen_8999,0,0,0,1,1,1,0
Youre the reason everyone is miserable,gen_9000,1,0,0,0,0,0,0
Youre polluting our culture,gen_9001,0,0,0,0,1,0,0
Stop twisting my words,gen_9002,0,0,0,0,0,1,0
They only like you because I told them to,gen_9003,0,0,0,0,0,0,1
Why do you always play the victim near,gen_9004,0,0,0,0,0,1,0
You all are just criminals in disguise,gen_9005,1,0,0,0,1,0,1
You make me sick to my stomach,gen_9006,0,1,0,0,0,0,0
Ive hurt worse people than you,gen_9007,0,0,1,0,1,0,0
I never said thatyou must be imagining things,gen_9008,0,0,0,0,0,1,0
Youre being dramatic for no reason,gen_9009,0,0,0,0,0,1,0
I cant believe anyone tolerates you,gen_9010,1,0,0,0,0,0,0
Youre pure trash and should be treated as such,gen_9011,0,1,0,1,0,0,0
Youre irrelevant and annoying,gen_9012,0,0,0,1,0,1,0
Youre the reason we have problems,gen_9013,0,0,0,0,1,0,1
I cant believe anyone tolerates you,gen_9014,1,0,0,0,0,0,1
Youre lucky I even talk to you,gen_9015,0,0,0,1,0,0,1
They only like you because I told them to,gen_9016,0,0,1,0,0,0,1
One day youll regret crossing me,gen_9017,0,0,1,1,0,1,0
Youre the reason everyone is miserable,gen_9018,1,0,0,0,0,0,0
Better sleep with one eye open,gen_9019,0,0,1,0,1,0,0
Youre being dramatic for no reason,gen_9020,0,0,0,0,0,1,0
I hope you get what you deservepain,gen_9021,0,1,0,0,0,0,1
Youre so fake its embarrassing,gen_9022,1,0,0,1,0,0,0
Youre a walking joke,gen_9023,0,0,0,1,0,0,0
You make me sick to my stomach,gen_9024,0,1,0,0,1,1,0
You made me act this way,gen_9025,0,0,0,0,0,0,1
If you really loved me youd prove it,gen_9026,0,0,0,1,0,0,1
How do you even live with yourself people,gen_9027,0,0,0,1,0,0,0
Youre the definition of pathetic,gen_9028,1,0,0,0,0,0,0
Youre nothing without my support,gen_9029,0,0,0,0,0,0,1
They only like you because I told them to,gen_9030,1,0,0,0,1,0,1
You wont survive whats coming next,gen_9031,0,0,1,0,0,0,0
You shouldve never been born,gen_9032,0,1,0,1,0,1,0
Youre irrelevant and annoying,gen_9033,0,0,0,1,0,0,0
Youre the reason we have problems,gen_9034,1,0,0,0,1,0,0
No one takes you seriously for a reason,gen_9035,0,0,0,1,0,0,0
Your race is the problem with this country,gen_9036,0,0,0,0,1,0,0
Youre a disgrace to your religion,gen_9037,0,0,0,0,1,0,0
Stop twisting my words,gen_9038,0,0,0,0,0,1,1
You made me act this way,gen_9039,0,0,0,0,0,0,1
Youre pure trash and should be treated as such,gen_9040,0,1,0,0,0,0,0
Youre too emotional calm down,gen_9041,1,0,0,0,1,1,0
You deserve everything bad coming your way,gen_9042,0,1,0,0,0,0,0
Youre pure trash and should be treated as such,gen_9043,1,1,0,0,0,0,0
You make me sick to my stomach,gen_9044,0,1,0,0,0,0,0
Better sleep with one eye open,gen_9045,0,0,1,0,0,0,1
You all are just criminals in disguise,gen_9046,0,0,0,0,1,0,0
I hope you get what you deservepain,gen_9047,0,1,0,0,0,0,0
Youre a waste of oxygen,gen_9048,0,1,0,0,1,0,0
Youre what happens when failure has a face,gen_9049,0,0,0,1,0,0,0
Your existence is a burden to others,gen_9050,1,0,0,0,0,0,0
Your race is the problem with this country,gen_9051,0,0,0,1,1,0,1
Ill ruin you if you speak again,gen_9052,0,0,1,0,0,0,0
We dont need your kind here,gen_9053,0,0,0,0,1,0,0
Youre too emotional calm down,gen_9054,0,0,0,0,0,1,0
You make me sick to my stomach,gen_9055,1,1,0,0,0,0,0
Youre a disgrace to your religion,gen_9056,0,0,0,0,1,1,0
Your existence is offensive,gen_9057,0,0,0,0,1,0,0
Why do you always play the victim team,gen_9058,0,0,0,0,0,1,0
Youre not making any sense,gen_9059,0,0,0,0,0,1,0
You made me act this way,gen_9060,0,0,0,0,0,0,1
Youre not making any sense,gen_9061,0,0,0,0,0,1,0
I never said thatyoure confused again,gen_9062,0,0,0,0,0,0,1
Youre not making any sense,gen_9063,0,0,0,0,0,1,0
Better sleep with one eye open,gen_9064,0,0,1,0,0,0,0
Better sleep with one eye open,gen_9065,0,0,1,0,0,0,0
Even trash has more value than you,gen_9066,1,0,0,1,0,1,0
Your existence is a burden to others,gen_9067,1,0,1,0,0,0,0
Im doing this for your own good,gen_9068,0,0,0,0,0,0,1
Theres no cure for how pathetic you are,gen_9069,0,1,0,0,0,0,1
Youre lucky I even talk to you,gen_9070,0,0,0,0,0,0,1
Youre going to ruin everything if you speak up,gen_9071,1,0,0,1,0,0,1
I never said thatyoure confused again,gen_9072,0,0,0,0,0,0,1
Everyone would be better off without you,gen_9073,0,1,0,0,0,0,0
Hope your life stays miserable forever,gen_9074,1,1,0,0,0,0,0
Go die in a ditch nobody cares about you,gen_9075,0,1,0,0,0,0,0
You should be deported,gen_9076,1,0,0,0,1,0,0
Youre remembering it wrong I was right,gen_9077,0,0,0,1,0,1,1
I never said thatyou must be imagining things,gen_9078,0,0,0,0,0,1,0
Youre a waste of oxygen,gen_9079,0,1,0,0,0,0,0
Youre a walking joke,gen_9080,0,0,0,1,0,0,0
People talk behind your back for a reason,gen_9081,1,0,0,0,0,0,0
If you really loved me youd prove it,gen_9082,0,0,1,0,0,0,1
Everyone would be better off without you,gen_9083,0,1,0,0,0,0,0
No one else will ever care about you like I do,gen_9084,0,0,0,0,0,0,1
I never said thatyou must be imagining things,gen_9085,0,0,0,0,0,1,0
You should be deported,gen_9086,0,0,0,0,1,0,0
Your existence is offensive,gen_9087,0,0,0,0,1,0,0
Youre overreacting like always,gen_9088,0,0,0,0,0,1,0
Youre overreacting like always,gen_9089,0,0,0,0,0,1,0
Youre nothing without my support,gen_9090,0,0,0,0,0,0,1
Youre a walking joke,gen_9091,0,0,0,1,0,0,0
Youre just being paranoid again,gen_9092,0,0,0,0,0,1,0
Youre too dumb to realize how dumb you are,gen_9093,0,0,0,1,0,0,0
People talk behind your back for a reason,gen_9094,1,0,0,0,0,0,0
Youre the definition of pathetic,gen_9095,1,0,0,0,1,1,0
Youre the definition of pathetic,gen_9096,1,0,0,0,1,0,0
People talk behind your back for a reason,gen_9097,1,0,0,0,0,0,0
How do you even live with yourself or,gen_9098,0,0,0,1,0,0,0
Youre remembering it wrong I was right,gen_9099,0,0,0,0,1,1,0
You deserve everything bad coming your way,gen_9100,0,1,0,0,1,0,0
Youre a walking joke,gen_9101,0,0,0,1,0,0,0
Youre lucky I even talk to you,gen_9102,0,0,0,0,0,0,1
Your race is the problem with this country,gen_9103,0,0,1,1,1,0,0
If you really loved me youd prove it,gen_9104,1,0,1,0,0,0,1
Im doing this for your own good,gen_9105,0,0,0,0,0,0,1
I never said thatyoure confused again,gen_9106,0,0,0,0,0,0,1
One day youll regret crossing me,gen_9107,0,0,1,0,0,0,0
Everyone thinks youre the problem not me,gen_9108,0,1,0,0,1,0,1
Why do you always play the victim wonder,gen_9109,0,0,0,1,0,1,0
Hope your life stays miserable forever,gen_9110,0,1,0,0,0,0,0
Your existence is offensive,gen_9111,0,0,0,0,1,0,0
Youre remembering it wrong I was right,gen_9112,0,0,0,0,0,1,0
If you really loved me youd prove it,gen_9113,0,0,0,0,0,0,1
You make me sick to my stomach,gen_9114,0,1,0,0,0,0,0
Dont forget I know where you live,gen_9115,0,0,1,0,0,0,0
Youre what happens when failure has a face,gen_9116,0,0,0,1,0,0,0
People like you dont belong here,gen_9117,0,1,1,0,1,0,0
Ill ruin you if you speak again,gen_9118,0,1,1,0,0,0,0
Youre just being paranoid again,gen_9119,0,0,0,0,0,1,0
Youre irrelevant and annoying,gen_9120,1,1,0,1,0,0,0
You made me act this way,gen_9121,0,0,0,0,0,0,1
Youre the definition of pathetic,gen_9122,1,0,0,0,0,0,0
I never said thatyou must be imagining things,gen_9123,0,0,0,0,0,1,0
You deserve everything bad coming your way,gen_9124,0,1,0,1,0,0,1
Youre not making any sense,gen_9125,1,0,0,0,0,1,0
Ive hurt worse people than you,gen_9126,0,0,1,0,0,0,0
Youre so fake its embarrassing,gen_9127,0,0,1,1,0,0,0
People talk behind your back for a reason,gen_9128,1,0,0,0,0,0,0
Youre too emotional calm down,gen_9129,0,0,0,0,0,1,0
Keep talking and youll see what happens,gen_9130,0,0,1,0,1,0,0
You should be deported,gen_9131,1,0,0,0,1,0,0
Your race is the problem with this country,gen_9132,0,0,0,1,1,0,0
You wont survive whats coming next,gen_9133,0,0,1,0,0,0,0
Go die in a ditch nobody cares about you,gen_9134,0,1,0,0,1,0,0
Youre nothing without my support,gen_9135,0,0,0,0,0,0,1
Go back to your own kind,gen_9136,0,0,1,0,1,0,0
No one else will ever care about you like I do,gen_9137,0,0,0,0,0,0,1
You make me sick to my stomach,gen_9138,0,1,0,0,0,0,0
Your existence is a burden to others,gen_9139,1,0,0,0,0,0,0
You look like a mistake,gen_9140,0,0,0,1,0,1,0
Youre remembering it wrong I was right,gen_9141,0,0,0,0,0,1,0
Youre nothing without my support,gen_9142,0,0,0,0,0,0,1
No one takes you seriously for a reason,gen_9143,0,0,0,1,0,0,0
Youre just being paranoid again,gen_9144,0,0,0,0,0,1,0
Youre overreacting like always,gen_9145,0,0,0,0,0,1,1
Even trash has more value than you,gen_9146,0,0,0,1,0,0,0
No one wants you around just leave,gen_9147,1,0,0,0,0,0,0
Everyone thinks youre the problem not me,gen_9148,0,0,0,0,0,0,1
Your existence is offensive,gen_9149,0,0,0,0,1,0,0
Youre the reason everyone is miserable,gen_9150,1,0,1,0,0,1,0
Hope your life stays miserable forever,gen_9151,0,1,0,0,0,0,0
Youre too dumb to realize how dumb you are,gen_9152,0,0,0,1,0,0,1
Youre a disgrace to your religion,gen_9153,0,0,0,0,1,0,0
Youre so dumb its painful to watch,gen_9154,1,0,0,0,0,0,0
Youre a disgrace to your religion,gen_9155,0,0,0,0,1,0,0
Your time is running out,gen_9156,0,0,1,0,0,0,0
I hope you get what you deservepain,gen_9157,0,1,0,0,0,0,0
You wont survive whats coming next,gen_9158,0,1,1,0,0,0,0
Youre the reason everyone is miserable,gen_9159,1,0,0,0,0,0,0
If you really loved me youd prove it,gen_9160,0,0,0,0,0,1,1
They only like you because I told them to,gen_9161,0,1,1,0,0,0,1
You should be deported,gen_9162,0,0,0,0,1,0,0
Go die in a ditch nobody cares about you,gen_9163,0,1,0,0,0,1,0
People like you dont belong here,gen_9164,0,0,0,0,1,0,0
No one wants you around just leave,gen_9165,1,0,0,0,0,0,0
We dont need your kind here,gen_9166,0,0,0,0,1,0,1
Youre the definition of pathetic,gen_9167,1,0,0,0,0,0,0
Youre nothing but a failure,gen_9168,1,0,0,0,0,0,0
Even trash has more value than you,gen_9169,0,0,0,1,0,0,0
Youre disgusting inside and out,gen_9170,1,0,1,1,0,0,0
Youre nothing without my support,gen_9171,0,0,0,0,0,0,1
Youre polluting our culture,gen_9172,0,0,0,0,1,0,0
Youre not making any sense,gen_9173,0,0,0,0,0,1,1
I hope you get what you deservepain,gen_9174,0,1,0,1,1,0,0
Youre irrelevant and annoying,gen_9175,0,0,0,1,1,0,1
Even trash has more value than you,gen_9176,0,0,0,1,0,0,0
You should be deported,gen_9177,1,0,0,0,1,1,0
Youre not making any sense,gen_9178,0,0,0,0,0,1,0
Youre so fake its embarrassing,gen_9179,0,0,0,1,0,0,0
Im doing this for your own good,gen_9180,0,0,0,0,0,0,1
Youre a disgrace to your religion,gen_9181,0,0,0,0,1,0,0
No one takes you seriously for a reason,gen_9182,0,0,0,1,0,0,0
Theres no cure for how pathetic you are,gen_9183,0,1,0,0,0,0,0
Ill ruin you if you speak again,gen_9184,0,0,1,0,0,1,1
How do you even live with yourself manage,gen_9185,0,0,0,1,0,0,0
Youre not making any sense,gen_9186,0,0,0,0,0,1,0
Your existence is a burden to others,gen_9187,1,0,0,0,0,0,0
People talk behind your back for a reason,gen_9188,1,0,0,0,0,0,0
You should be deported,gen_9189,0,1,0,0,1,1,0
You should be deported,gen_9190,0,0,0,0,1,0,0
How do you even live with yourself process,gen_9191,1,0,1,1,0,0,0
I never said thatyou must be imagining things,gen_9192,0,0,0,0,0,1,0
How do you even live with yourself word,gen_9193,0,0,0,1,1,0,1
Youre irrelevant and annoying,gen_9194,0,0,0,1,0,0,0
If you really loved me youd prove it,gen_9195,0,0,0,0,0,0,1
Ill ruin you if you speak again,gen_9196,0,0,1,0,0,0,0
Youre just being paranoid again,gen_9197,0,1,0,0,0,1,1
Youre the reason everyone is miserable,gen_9198,1,0,0,0,1,0,0
I will break everything you love,gen_9199,0,0,1,0,0,0,0
Ill ruin you if you speak again,gen_9200,0,0,1,0,0,0,0
I cant believe anyone tolerates you,gen_9201,1,0,0,1,0,0,0
You wont survive whats coming next,gen_9202,0,0,1,0,0,0,0
Youre nothing but a failure,gen_9203,1,0,0,0,0,0,0
If you really loved me youd prove it,gen_9204,0,0,0,0,0,0,1
Youre the reason everyone is miserable,gen_9205,1,1,1,0,0,0,0
You made me act this way,gen_9206,0,0,0,0,0,0,1
Go back to your own kind,gen_9207,0,0,0,1,1,0,0
We dont need your kind here,gen_9208,0,0,0,1,1,0,1
Youre irrelevant and annoying,gen_9209,0,0,0,1,0,0,0
You make me sick to my stomach,gen_9210,0,1,1,0,0,0,1
Everyone would be better off without you,gen_9211,0,1,0,0,0,0,0
You shouldve never been born,gen_9212,0,1,0,0,0,0,0
They only like you because I told them to,gen_9213,0,0,0,0,0,0,1
Youre nothing without my support,gen_9214,0,0,1,0,0,0,1
Hope your life stays miserable forever,gen_9215,0,1,0,0,0,0,0
Better sleep with one eye open,gen_9216,0,0,1,0,0,0,0
Go back to your own kind,gen_9217,0,0,0,0,1,0,0
Youre what happens when failure has a face,gen_9218,0,0,0,1,0,0,0
Youre a walking joke,gen_9219,0,0,0,1,0,1,0
Your existence is a burden to others,gen_9220,1,0,0,1,0,0,0
Stop twisting my words,gen_9221,1,0,0,0,0,1,0
You wont survive whats coming next,gen_9222,0,0,1,0,0,0,0
Go die in a ditch nobody cares about you,gen_9223,0,1,0,0,0,0,0
People talk behind your back for a reason,gen_9224,1,0,0,0,0,0,1
I cant believe anyone tolerates you,gen_9225,1,0,0,0,0,0,0
Its not abuse youre just sensitive,gen_9226,0,0,0,0,0,1,0
No one takes you seriously for a reason,gen_9227,0,0,0,1,0,0,0
Hope your life stays miserable forever,gen_9228,1,1,0,0,0,0,1
You made me act this way,gen_9229,0,0,0,0,0,0,1
Youre dead if I ever see you,gen_9230,0,0,1,0,0,0,0
Youre too dumb to realize how dumb you are,gen_9231,0,0,0,1,0,0,0
Youre nothing but a failure,gen_9232,1,0,0,0,0,0,0
You make me sick to my stomach,gen_9233,0,1,0,0,0,1,0
Youre the reason everyone is miserable,gen_9234,1,0,0,0,0,0,0
Youre disgusting inside and out,gen_9235,1,0,0,0,0,0,0
Youre lucky I even talk to you,gen_9236,0,0,0,0,0,0,1
People laugh at you not with you,gen_9237,0,0,0,1,0,1,0
No one wants you around just leave,gen_9238,1,1,0,1,0,0,0
We dont need your kind here,gen_9239,0,0,0,0,1,0,0
I never said thatyoure confused again,gen_9240,0,0,1,0,0,0,1
You make me sick to my stomach,gen_9241,0,1,0,0,0,0,0
No one takes you seriously for a reason,gen_9242,0,0,0,1,0,0,0
Youre so dumb its painful to watch,gen_9243,1,0,0,0,0,0,0
Ive hurt worse people than you,gen_9244,0,0,1,0,0,0,0
Why do you always play the victim direction,gen_9245,0,0,0,0,0,1,0
Youre the reason we have problems,gen_9246,0,0,0,0,1,0,0
Youre the definition of pathetic,gen_9247,1,0,0,0,0,0,0
You look like a mistake,gen_9248,0,0,0,1,1,0,0
How do you even live with yourself answer,gen_9249,0,0,0,1,0,0,0
No one takes you seriously for a reason,gen_9250,0,1,0,1,0,0,0
Your time is running out,gen_9251,0,0,1,0,0,0,1
Youre nothing but a failure,gen_9252,1,0,0,0,0,1,0
Even trash has more value than you,gen_9253,0,0,0,1,0,0,0
I will break everything you love,gen_9254,0,0,1,0,0,0,0
I cant believe anyone tolerates you,gen_9255,1,0,0,0,0,0,0
Youre so dumb its painful to watch,gen_9256,1,1,0,0,0,0,0
Youre dead if I ever see you,gen_9257,1,0,1,0,1,0,0
Youre pure trash and should be treated as such,gen_9258,0,1,0,0,0,0,0
People talk behind your back for a reason,gen_9259,1,0,1,1,0,0,0
You should be deported,gen_9260,0,0,1,0,1,0,1
Ive hurt worse people than you,gen_9261,1,1,1,0,0,0,0
Im doing this for your own good,gen_9262,1,0,0,1,0,0,1
Everyone would be better off without you,gen_9263,0,1,0,0,0,0,0
Dont forget I know where you live,gen_9264,0,1,1,1,0,0,0
People laugh at you not with you,gen_9265,0,0,1,1,0,0,0
Go die in a ditch nobody cares about you,gen_9266,0,1,0,0,0,0,0
You all are just criminals in disguise,gen_9267,0,0,0,0,1,0,0
Theres no cure for how pathetic you are,gen_9268,0,1,0,0,0,1,0
I never said thatyoure confused again,gen_9269,0,0,1,0,0,0,1
Youre a disgrace to your religion,gen_9270,0,1,0,0,1,0,1
Youre going to ruin everything if you speak up,gen_9271,1,0,0,0,0,0,1
You wont survive whats coming next,gen_9272,0,0,1,0,0,0,0
Youre too dumb to realize how dumb you are,gen_9273,0,0,0,1,0,0,0
Your time is running out,gen_9274,1,0,1,0,1,0,0
Youre the reason we have problems,gen_9275,0,0,0,0,1,0,0
People talk behind your back for a reason,gen_9276,1,0,0,0,0,0,0
You look like a mistake,gen_9277,0,0,0,1,0,0,0
No one else will ever care about you like I do,gen_9278,0,1,0,0,0,0,1
Go die in a ditch nobody cares about you,gen_9279,0,1,0,0,0,0,0
Youre irrelevant and annoying,gen_9280,1,0,0,1,0,0,0
You made me act this way,gen_9281,0,0,0,0,0,0,1
Stop twisting my words,gen_9282,0,0,0,0,0,1,0
Youre a disgrace to your religion,gen_9283,0,0,0,0,1,0,1
Youre nothing without my support,gen_9284,0,0,0,0,0,0,1
Youre dead if I ever see you,gen_9285,0,0,1,0,0,0,0
You should be deported,gen_9286,0,0,0,0,1,0,0
No one else will ever care about you like I do,gen_9287,0,1,1,0,0,0,1
I cant believe anyone tolerates you,gen_9288,1,0,0,0,0,0,1
Im doing this for your own good,gen_9289,0,0,0,0,0,0,1
You should be deported,gen_9290,0,0,0,0,1,0,0
Youre a walking joke,gen_9291,0,0,0,1,0,0,0
Your existence is offensive,gen_9292,0,0,0,0,1,0,0
People like you dont belong here,gen_9293,0,0,0,0,1,0,0
You shouldve never been born,gen_9294,1,1,0,0,0,0,0
Youre a disgrace to your religion,gen_9295,0,0,0,0,1,0,0
You make me sick to my stomach,gen_9296,0,1,0,0,0,0,0
Why do you always play the victim talk,gen_9297,0,0,0,0,0,1,0
No one else will ever care about you like I do,gen_9298,0,0,0,0,0,0,1
Youre too dumb to realize how dumb you are,gen_9299,1,0,0,1,0,0,1
No one wants you around just leave,gen_9300,1,0,0,0,0,0,0
Youre not making any sense,gen_9301,0,0,0,0,0,1,0
How do you even live with yourself worker,gen_9302,0,0,0,1,0,0,0
Why do you always play the victim about,gen_9303,0,0,0,0,0,1,0
Youre just being paranoid again,gen_9304,0,0,0,0,0,1,0
Everyone would be better off without you,gen_9305,0,1,0,0,0,0,0
I never said thatyou must be imagining things,gen_9306,0,0,0,0,0,1,0
Youre nothing without my support,gen_9307,0,0,0,0,0,0,1
Stop twisting my words,gen_9308,0,0,0,0,0,1,0
People talk behind your back for a reason,gen_9309,1,1,0,0,0,0,0
Youre nothing without my support,gen_9310,0,0,0,0,0,0,1
Youre irrelevant and annoying,gen_9311,0,0,0,1,0,1,0
I never said thatyou must be imagining things,gen_9312,0,0,0,0,0,1,0
No one takes you seriously for a reason,gen_9313,0,0,0,1,0,0,0
I never said thatyou must be imagining things,gen_9314,0,0,0,0,0,1,0
If you really loved me youd prove it,gen_9315,0,0,0,0,0,0,1
Its not abuse youre just sensitive,gen_9316,0,0,0,0,1,1,0
Youre remembering it wrong I was right,gen_9317,0,0,0,0,0,1,0
Youre just being paranoid again,gen_9318,0,0,0,0,0,1,0
Youre lucky I even talk to you,gen_9319,0,0,0,0,0,0,1
Youre what happens when failure has a face,gen_9320,0,0,0,1,0,0,0
Youre so dumb its painful to watch,gen_9321,1,0,0,0,0,0,0
I never said thatyoure confused again,gen_9322,0,1,1,0,0,0,1
You make me sick to my stomach,gen_9323,0,1,0,0,0,0,0
